2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tobias Harris,Phi,F,28.75,49,33.3,69.3,24,9.9,175,0.886,575,0.555,172,0.407,0.568,0.609,20.5,7.2,11.9,3.6,17.7,0.92,0.88,1.86,9.7,119.1,103.8
,Isaiah Hartenstein,Den,C-F,22.95,30,9.1,18.9,18.8,18,36,0.611,80,0.513,0,0,0.513,0.543,3.5,2.8,17.8,0.5,7.4,0.37,0.67,0.7,7.5,108.6,90.2
,Isaiah Hartenstein,Cle,C-F,22.95,9,20.1,41.9,18.5,18.2,27,0.63,46,0.63,5,0.4,0.627,0.644,9,7.6,21,2.8,21.9,0.44,1.56,1.56,11.5,119.7,96.6
,Josh Hart,Nor,G,26.12,47,28.7,59.8,13.6,11.8,89,0.775,150,0.587,193,0.326,0.532,0.568,9.2,8,15.4,2.3,10.6,0.81,0.26,1.09,7.7,115.5,106.6
,Jaxson Hayes,Nor,C-F,20.9,44,14.7,30.7,15,13.5,74,0.757,160,0.663,6,0.5,0.666,0.698,6.3,3.8,14.3,0.6,5.4,0.36,0.48,0.7,6.6,129.3,104.1
,Killian Hayes,Det,G,19.72,13,21.7,45.2,18.8,24.7,6,0.833,57,0.368,32,0.25,0.371,0.387,5.5,2.2,5.7,3.9,26,1,0.38,2.31,6.7,78.9,107.3
,Gordon Hayward,Cha,F,31.07,44,34,70.8,23.8,11,185,0.843,453,0.499,205,0.415,0.537,0.584,19.6,5.9,9.4,4.1,19.4,1.18,0.32,2.07,9.2,114.3,110.5
,Juancho Hernangomez,Min,F,25.55,38,16.5,34.4,16.6,6.9,66,0.682,92,0.576,109,0.33,0.532,0.563,6.8,4.1,13.4,0.6,5.6,0.37,0.11,0.45,6.2,114.1,112.9
,Willy Hernangomez,Nor,C-F,26.89,33,15.8,32.9,16.6,7.8,48,0.604,159,0.56,8,0.125,0.542,0.558,6.4,6.4,22.3,0.9,8.5,0.33,0.48,0.48,8.4,122.9,108.2
,Tyler Herro,Mia,G,21.24,45,31.2,65.1,23.3,12.4,108,0.815,342,0.494,249,0.329,0.494,0.526,14.9,4.9,8.8,3.4,17.6,0.73,0.38,2,8.1,100.2,109.7
,Buddy Hield,Sac,G,28.33,55,34.5,72,20.7,10.6,84,0.833,206,0.447,577,0.385,0.543,0.561,16.7,4.5,7.2,3.1,12.6,0.82,0.36,1.76,7.1,107.1,114.8
,George Hill,Okc,G,34.95,14,26.3,54.9,16.7,8.4,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.2,0.86,0.14,0.86,6.5,126.1,115.2
,Solomon Hill,Atl,F,30.08,55,20.5,42.7,10.9,11,30,0.767,61,0.459,176,0.341,0.498,0.518,4.7,2.7,7.1,1,6.2,0.73,0.18,0.56,4.6,105.9,108.5
,Nate Hinton,Dal,G-F,21.86,14,3.4,7.1,24.7,15,6,0.667,14,0.5,6,0.167,0.425,0.464,1.5,0.4,5.7,0.3,12.3,0.29,0.07,0.29,6.6,,
,Jaylen Hoard,Okc,F,22.05,7,19.3,40.2,17.9,21.3,19,0.789,31,0.484,5,0,0.417,0.507,6.4,3.3,8.9,1,7.5,0.71,0.14,1.71,5.7,94,109.4
,Aaron Holiday,Ind,G,24.54,53,17.5,36.5,20,11.3,60,0.783,204,0.412,153,0.373,0.475,0.503,7.3,1.2,3.9,1.7,13.1,0.62,0.17,0.92,5.6,98.2,109.4
,Jrue Holiday,Mil,G,30.85,43,31.6,65.8,21.9,13,85,0.824,379,0.562,202,0.401,0.576,0.598,17.2,4.5,7.5,5.4,24.3,1.74,0.51,2.14,9.5,119.3,107.8
,Justin Holiday,Ind,F-G,32.03,55,31.4,65.3,14,7.8,66,0.788,136,0.507,355,0.375,0.547,0.566,10.7,3.6,6.3,1.7,6.9,1.24,0.4,0.8,5.1,110.6,111.1
,Rondae Hollis-Jefferson,Por,F,26.29,2,6,12.5,17.1,21,4,0.5,1,1,1,0,0.5,0.532,2,0.5,4.5,1.5,32.9,0.5,0,0.5,7.6,110.2,71.9
,Richaun Holmes,Sac,F,27.51,50,30,62.4,16.7,10.4,138,0.797,453,0.651,10,0.2,0.644,0.674,14.1,8.9,16.5,1.7,8,0.68,1.64,1.22,8,131,107.1
,Rodney Hood,Por,G-F,28.49,38,19.1,39.8,14.1,13.1,12,0.75,117,0.41,84,0.298,0.425,0.436,4.7,1.9,5.4,1.2,8.7,0.53,0.11,0.82,4.6,91.1,113.3
,Rodney Hood,Tor,G-F,28.49,9,16.7,34.8,15.5,7.4,9,0.889,22,0.409,24,0.333,0.457,0.5,5.6,2,6.6,0.4,3.7,0.11,0.22,0.44,3.9,99.8,111.8
,Al Horford,Okc,C-F,34.87,28,27.9,58.2,21.9,7.3,22,0.818,208,0.51,152,0.368,0.528,0.538,14.2,6.7,12.5,3.4,20.1,0.89,0.93,1.04,9.8,110.8,108.2
,Talen Horton-Tucker,Lal,G,20.39,51,19.6,40.9,21.9,15.2,89,0.82,282,0.507,107,0.262,0.476,0.517,8.7,2.7,7.7,2.6,19.6,0.96,0.39,1.51,8,100.6,98
,Danuel House Jr.,Hou,F-G,27.86,31,27.2,56.7,15.2,10,59,0.661,105,0.467,139,0.36,0.508,0.532,9.3,3.9,7.6,1.9,10.1,0.65,0.45,0.97,6,105.4,111
,Dwight Howard,Phi,C-F,35.36,54,17.4,36.3,18.1,24.1,164,0.579,214,0.607,16,0.25,0.591,0.607,6.8,8.3,26.1,0.7,5.8,0.44,0.93,1.78,7.8,108,88.4
,Markus Howard,Den,G,22.12,27,3.3,6.9,26,11.3,2,0.5,14,0.429,32,0.156,0.293,0.299,1,0.4,7,0.4,14.5,0.07,0,0.22,6.6,,
,Kevin Huerter,Atl,G-F,22.64,56,31,64.5,17.1,9.6,52,0.827,279,0.498,313,0.364,0.524,0.539,11.8,3.3,5.8,3.6,16.6,1.14,0.23,1.16,6.7,111.9,109
,Elijah Hughes,Uta,G,23.1,11,3.6,7.5,28,19.4,4,0.75,5,0.4,14,0.429,0.579,0.602,2.3,0.6,9.3,0.4,15.5,0.09,0.09,0.45,9.1,,
,De'Andre Hunter,Atl,F-G,23.37,20,31.2,65.1,19.7,9.5,75,0.867,136,0.596,87,0.356,0.572,0.625,16,5.1,9,2.1,10.2,0.9,0.5,1.35,7.1,121.4,107.2
,Chandler Hutchison,Chi,F-G,24.97,7,9.1,18.9,16.1,20.9,2,1,15,0.267,3,0.333,0.306,0.344,1.9,2.9,17.5,0.6,7.8,0.14,0,0.71,6.5,67.2,98.4
,Chandler Hutchison,Was,F-G,24.97,6,18.6,38.8,18.3,18.4,9,0.778,26,0.423,10,0.2,0.389,0.438,5.8,3.8,10.9,0.8,5.9,0.5,0,1.5,5.6,79.6,108.5
,Serge Ibaka,Lac,F,31.58,39,23.6,49.1,19.8,10.7,45,0.822,239,0.577,108,0.352,0.562,0.582,10.9,6.7,16,1.7,10.8,0.23,1.18,1.13,8.5,116.9,105.6
,Andre Iguodala,Mia,G-F,37.22,50,21.2,44.3,11.3,18.8,33,0.636,48,0.542,153,0.32,0.495,0.51,4.4,3.7,9.8,2,13.3,1.02,0.46,1,6,100.8,105.4
,Ersan Ilyasova,Uta,F,33.92,8,6.4,13.3,18.7,13.4,3,1,3,0.333,15,0.267,0.389,0.44,2.1,1.3,10.3,0.3,5.1,0.25,0,0.38,5.8,91.9,90.4
,Joe Ingles,Uta,F-G,33.54,51,26.8,55.8,15.9,15.8,66,0.864,114,0.605,284,0.486,0.693,0.713,11.9,3.7,7.2,4.2,22,0.67,0.2,1.57,8.5,133.3,105.1
,Brandon Ingram,Nor,F,23.62,51,34.6,72.1,28.2,10.7,272,0.886,607,0.514,323,0.384,0.535,0.589,24.3,5,7.9,4.8,22.2,0.75,0.67,2.47,9.7,116.4,112.4
,Kyrie Irving,Bro,G,29.07,40,35.1,73.1,30.4,9.4,160,0.913,543,0.576,276,0.395,0.582,0.618,27.5,4.8,7.6,6.1,29.1,1.25,0.58,2.3,10.6,122.5,109.3
,Wes Iwundu,Dal,F,26.32,23,12.5,26.1,9.9,9.4,14,0.857,29,0.483,23,0.13,0.356,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.3,106.3
,Wes Iwundu,Nor,F,26.32,9,15.3,31.9,13.4,22.9,13,0.846,15,0.6,13,0.154,0.429,0.519,3.9,2.8,10,0.4,3.6,0.44,0.11,1.11,4.3,89.9,106.6
,Frank Jackson,Det,G,22.95,27,15.2,31.6,20.9,12.2,45,0.822,69,0.478,84,0.405,0.549,0.593,7.6,1.8,6.7,0.6,6.6,0.3,0,0.89,5.3,108,110.5
,Josh Jackson,Det,G-F,24.18,51,24.6,51.2,26.4,14.5,168,0.726,371,0.488,204,0.319,0.484,0.523,13.3,4.2,9.4,2.1,13.9,0.9,0.71,2.16,8,97.6,103.2
,Justin Jackson,Okc,F,26.06,33,16.5,34.4,20.4,12,35,0.857,101,0.515,111,0.306,0.486,0.519,7.2,2.2,6.8,1.5,14.5,0.45,0.06,0.94,7,101.4,111.6
,Reggie Jackson,Lac,G,31,55,22.6,47,19.8,11.2,73,0.795,249,0.478,212,0.429,0.554,0.577,10.3,2.9,7.1,3.1,19.1,0.6,0.11,1.13,8,115.9,106.1
,Justin James,Sac,G-F,24.23,25,6,12.5,15.2,11.3,12,0.417,25,0.52,17,0.294,0.488,0.486,1.8,0.4,4,0.6,13,0.12,0.04,0.24,5,100.4,117.7
,LeBron James,Lal,F,36.29,41,33.9,70.5,31.6,15,239,0.703,489,0.593,266,0.368,0.579,0.606,25.4,7.9,12.9,7.9,41.5,1.05,0.59,3.71,13.8,114.7,102.6
,DaQuan Jeffries,Sac,G-F,23.63,18,12.9,26.8,12.6,11.8,7,0.857,29,0.517,28,0.321,0.5,0.524,3.5,1.6,6.9,0.3,3.3,0.39,0.22,0.44,3.7,101.8,112.6
,DaQuan Jeffries,Hou,G-F,23.63,2,6.6,13.6,9.8,0,0,0,1,1,2,0,0.333,0.333,1,0,0,1,20.7,0,1,0,0,98,123.5
,Ty Jerome,Okc,G-F,23.78,23,24.8,51.6,17.9,12.7,23,0.696,77,0.468,120,0.392,0.541,0.553,10,2.9,6,3.5,21.6,0.52,0.17,1.3,7.5,109.7,109.8
,Isaiah Joe,Phi,G,21.79,29,9.8,20.4,15.9,5.7,9,0.889,20,0.35,75,0.333,0.468,0.49,3.3,1,5.6,0.6,8.1,0.28,0.14,0.21,5.1,104.8,102.9
,Alize Johnson,Bro,F,24.98,9,11.6,24.2,21.4,9.7,3,1,42,0.69,3,0,0.644,0.658,6.8,5.1,24.7,0.7,9.3,0.44,0.22,0.56,10,130.3,104.2
,Cameron Johnson,Pho,F,25.12,49,23.3,48.5,17.1,8.4,47,0.872,117,0.581,264,0.386,0.58,0.601,9.9,3.3,7.9,1.4,8.4,0.61,0.31,0.76,6.1,115.7,107.4
,James Johnson,Dal,F,34.15,29,17.4,36.2,16.3,14.6,29,0.586,85,0.612,60,0.25,0.514,0.526,5.7,3,9.3,1.7,13.9,0.83,0.79,0.93,7.1,103.8,101.8
,James Johnson,Nor,F,34.15,10,27.7,57.6,17.6,14,24,0.708,55,0.527,33,0.303,0.5,0.533,10.5,3.8,7.6,2.9,14.3,1,1.3,1.6,7,105.6,106.2
,Keldon Johnson,San,F-G,21.52,51,28.5,59.3,19.1,8.6,147,0.735,386,0.528,133,0.331,0.52,0.555,12.7,6.5,12.1,1.8,9,0.55,0.47,1.08,7.4,111.5,107.3
,Stanley Johnson,Tor,F-G,24.88,49,14.6,30.5,11.1,19.5,24,0.792,56,0.464,82,0.354,0.504,0.532,3.2,2.3,8.8,1.2,11.1,0.73,0.35,0.73,5.7,102.7,102.4
,Tyler Johnson,Bro,G,28.94,31,16.9,35.1,13.6,8,19,0.842,41,0.439,101,0.376,0.528,0.552,5.4,1.9,6.3,0.9,7,0.39,0,0.42,5,110.2,112
,Nikola Jokic,Den,C,26.16,56,35.2,73.4,28.9,13.1,275,0.855,826,0.599,185,0.422,0.605,0.644,26.1,11,17.7,8.8,41.2,1.46,0.64,3.05,15.5,130.3,104.8
,Derrick Jones Jr.,Por,F,24.17,50,24.4,50.8,12.3,8.4,82,0.634,154,0.617,128,0.328,0.56,0.578,7.4,4,8.7,0.8,4.5,0.7,1.02,0.58,4.7,120.7,111.2
,Damian Jones,Pho,C,25.8,14,6.7,13.9,12.8,22.4,11,0.545,15,0.533,1,0,0.5,0.528,1.6,1.3,10.8,0.3,5.3,0.07,0.36,0.43,5.1,100.3,92.3
,Damian Jones,Lal,C,25.8,8,14,29.1,10.6,18.3,12,0.917,17,0.941,0,0,0.941,0.965,5.4,3.3,12.9,0.1,1.3,0.13,0.88,0.63,3.5,157.6,89.2
,Damian Jones,Sac,C,25.8,3,13.3,27.7,10,21.5,3,0.333,6,0.5,0,0,0.5,0.478,2.3,2.3,9.7,0.7,6.2,1,0.33,0.67,4.7,92.7,106
,Mason Jones,Hou,G,22.74,26,11.8,24.6,23.2,16.8,57,0.614,50,0.48,64,0.359,0.513,0.546,5.8,2,8.8,1.5,19.3,0.23,0.04,1.08,8.8,100.6,110.6
,Mason Jones,Phi,G,22.74,4,3.9,8,16.7,0,0,0,4,0.75,2,0.5,0.75,0.75,2.3,0.8,10.7,0.5,21.9,0,0,0,10,,
,Tre Jones,San,G,21.27,25,4.7,9.8,19.3,19.2,5,1,39,0.462,1,1,0.488,0.521,1.8,0.4,5,0.6,17,0.16,0,0.4,6.4,97.4,113.3
,Tyus Jones,Mem,G,24.94,54,19.1,39.7,16.7,9.8,35,0.914,234,0.5,118,0.322,0.494,0.517,7,2.2,6.2,4.1,29,1.04,0.09,0.74,8.3,116.1,112.3
,DeAndre Jordan,Bro,C,32.74,49,22.2,46.2,12.9,22.3,70,0.5,219,0.781,1,0,0.777,0.752,7.7,7.3,18.4,1.7,10.2,0.29,1.2,1.47,8.2,128.2,104.8
,Cory Joseph,Sac,G,29.66,44,21.5,44.7,14.3,14,47,0.766,156,0.513,94,0.33,0.506,0.534,6.6,2.3,5.9,2.5,14.8,0.86,0.2,1,6.3,108.3,111.8
,Cory Joseph,Det,G,29.66,12,24.7,51.4,19.8,15.6,30,0.9,83,0.542,17,0.294,0.525,0.583,11,3.2,7.2,5.8,37.7,1.17,0.42,1.75,9.5,118.9,106.8
,Mfiondu Kabengele,Lac,F-C,23.67,23,4.1,8.5,19.2,14.8,6,0.833,14,0.357,18,0.222,0.344,0.39,1.2,0.6,8.4,0.2,6.8,0.09,0.13,0.26,5.1,77.2,94.1
,Mfiondu Kabengele,Cle,F-C,23.67,3,7.1,14.8,10.2,20,0,0,1,1,3,0.333,0.625,0.625,1.7,1.7,13.1,0.3,6.6,0.67,0,0.33,5.4,101.2,89.7
,Frank Kaminsky,Pho,F-C,28.04,33,14.8,30.7,18.8,7.3,35,0.629,111,0.505,64,0.406,0.543,0.557,6.4,3.6,13.7,1.6,15.1,0.3,0.39,0.45,9,116.9,102.8
,Enes Kanter,Por,C,28.91,55,26.5,55.2,17.3,11.8,138,0.79,453,0.609,1,0,0.608,0.642,12,11.9,24.1,1.3,7.5,0.51,0.71,1.25,8.6,132.2,106.3
,Luke Kennard,Lac,G,24.81,52,19.6,40.8,16.6,11,26,0.846,153,0.497,176,0.46,0.6,0.612,8,2.7,7.8,1.7,11.8,0.33,0.15,0.81,6.8,117.2,107.6
,Maxi Kleber,Dal,F,29.21,40,28.1,58.6,10.5,9.8,35,0.914,51,0.451,173,0.422,0.592,0.62,7.4,5.4,10.4,1.3,6.2,0.55,0.75,0.65,5.3,123.1,107.2
,Nathan Knight,Atl,F-C,23.57,25,8.4,17.6,22.1,14,41,0.805,50,0.44,24,0.208,0.399,0.5,3.7,2,13,0.2,4,0.32,0.28,0.6,5.4,101.2,106.4
,Kevin Knox II,Nyk,F,21.68,35,12.5,26.1,15.9,10.1,18,0.778,50,0.4,84,0.405,0.53,0.55,4.5,1.6,6.9,0.5,6,0.31,0.17,0.46,4.9,106.3,104.3
,John Konchar,Mem,G,25.07,31,14,29.2,11.4,11.9,24,0.833,57,0.509,36,0.361,0.522,0.565,3.8,2.9,11.2,1.1,10.1,0.84,0.23,0.45,6.6,118.3,104.9
,Furkan Korkmaz,Phi,G-F,23.73,45,19.6,40.8,20.6,9.2,76,0.724,131,0.458,221,0.376,0.524,0.55,9.4,2.1,5.9,1.3,9.7,0.96,0.18,0.87,6,107.4,105
,Luke Kornet,Chi,F-C,25.76,13,7.2,15,13.6,3.4,4,0.5,4,0.75,23,0.261,0.444,0.452,2,1.2,9.5,0.3,5.4,0.15,0.54,0.08,5,99,116
,Luke Kornet,Bos,F-C,25.76,7,14.8,30.8,14,6,1,0,12,0.5,19,0.368,0.532,0.525,4.7,3.4,13,1.3,11.8,0,1.57,0.29,7.4,117,108.6
,Rodions Kurucs,Bro,F,23.2,5,3.2,6.6,8.2,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.6,0.4,15.2,0,0,0,6.6,,
,Rodions Kurucs,Hou,F,23.2,11,6.8,14.2,17.5,29.1,2,0.5,6,0.5,15,0.133,0.286,0.297,1.2,1,7.8,0.4,7.1,0.55,0.36,0.82,4.6,52.9,105.3
,Rodions Kurucs,Mil,F,23.2,3,9.4,19.7,14.8,30,0,0,4,0.5,3,1,0.929,0.929,4.3,3,16.7,1.3,18.9,1,0,1,10.9,137.1,88.6
,Kyle Kuzma,Lal,F,25.73,53,28.2,58.7,21.3,12.7,76,0.671,298,0.517,309,0.346,0.518,0.531,12.8,6.6,12.9,1.6,8.6,0.43,0.57,1.75,7.3,101.8,103.1
,Anthony Lamb,Hou,F,23.24,11,11.5,24,14,7.2,6,0.833,16,0.25,20,0.15,0.236,0.285,2,2.6,12.2,0.3,3.1,0.09,0.09,0.27,4,78.1,107.7
,Jeremy Lamb,Ind,G-F,28.88,35,21.4,44.5,18.4,6.8,74,0.946,141,0.461,126,0.413,0.536,0.594,10.2,3.6,9.2,1.4,9.1,0.97,0.63,0.63,7,119.5,106.3
,Romeo Langford,Bos,G-F,21.48,7,13.8,28.8,11.3,11.8,3,1,14,0.286,7,0.429,0.405,0.448,2.9,2.4,9.8,0.6,5.2,0.29,0.14,0.43,4.7,102.4,111.5
,Zach LaVine,Chi,G-F,26.1,53,35.2,73.4,31,14.4,276,0.848,593,0.572,437,0.416,0.594,0.633,27.5,5.1,8.1,5.1,23.9,0.81,0.51,3.64,10.2,114.8,110.3
,Jake Layman,Min,F,27.11,41,14.6,30.4,15.2,12,37,0.703,101,0.644,73,0.288,0.555,0.575,5.3,1.6,5.8,0.7,6.6,0.71,0.41,0.63,5,106,112.8
,Jalen Lecque,Ind,G,20.84,4,3,6.3,36.6,0,3,1,8,0.125,1,0,0.111,0.242,1.3,1.3,22.8,0.5,20.8,0,0,0,12.6,,
,Damion Lee,Gol,G-F,28.49,55,18.8,39.2,12.9,8.6,44,0.909,75,0.627,192,0.391,0.597,0.627,6.5,3.1,8.8,1.3,9.3,0.67,0.13,0.49,6.3,120.3,105.9
,Saben Lee,Det,G,21.82,33,15.6,32.4,17.4,16.6,72,0.667,123,0.472,16,0.438,0.493,0.542,5.6,1.9,7,3.3,32,0.7,0.27,1.03,8.4,113.7,106
,Alex Len,Tor,C,27.84,7,10.8,22.6,11.8,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,8,0.4,5.2,0.14,0.86,1.14,4.2,76.6,103
,Alex Len,Was,C,27.84,40,16.5,34.3,16.9,13.5,83,0.602,178,0.657,17,0.235,0.631,0.639,7.4,4.4,14,0.9,8.2,0.33,1.13,0.9,7.5,118.6,102.7
,Kawhi Leonard,Lac,F,29.8,45,34.6,72.2,29.3,8.6,262,0.878,602,0.56,223,0.395,0.568,0.621,26,6.6,10.7,5,24.1,1.71,0.42,1.96,11,125.5,108
,Meyers Leonard,Mia,F-C,29.13,3,9.8,20.4,15.1,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.5,0.7,9.8,0,0,0.67,7.1,100.8,93.5
,Caris LeVert,Bro,G,26.64,12,27.8,57.9,31.4,10.8,34,0.765,137,0.474,63,0.349,0.49,0.516,18.5,4.3,8.7,6,34,1.08,0.5,2.17,11.2,107.8,110.3
,Caris LeVert,Ind,G,26.64,19,32.8,68.4,25.5,9.7,65,0.831,195,0.508,111,0.297,0.485,0.525,18.5,4.7,8,4.1,18.8,1.63,0.53,1.89,8.6,104.9,109.4
,Kira Lewis Jr.,Nor,G,20.03,38,16.1,33.6,18.9,7.7,31,0.774,156,0.442,82,0.341,0.466,0.489,6.5,1.2,4.1,2.3,19.8,0.76,0.18,0.55,6.5,107.8,108.1
,Damian Lillard,Por,G,30.76,52,35.9,74.8,31.9,11.9,387,0.925,486,0.51,560,0.379,0.541,0.613,28.7,4.2,6.3,7.7,35.7,0.88,0.27,3.17,10.9,123.2,116.7
,Nassir Little,Por,F-G,21.18,36,14,29.2,14,8.6,38,0.868,64,0.594,69,0.377,0.579,0.624,5.2,2.6,10.1,0.5,4.7,0.14,0.33,0.39,5.4,125.5,112.1
,Kevon Looney,Gol,F,25.19,45,16.4,34.1,9.9,15.8,30,0.7,117,0.59,14,0.286,0.573,0.593,3.8,4.3,14,1.9,15,0.42,0.38,0.6,7.7,130.6,101.9
,Brook Lopez,Mil,C,33.04,54,27.2,56.8,16.2,8.6,100,0.85,244,0.623,232,0.345,0.571,0.605,11.6,5.1,9.8,0.7,3.5,0.63,1.39,0.91,5.1,119.2,106.5
,Robin Lopez,Was,C,33.04,55,20,41.7,15.9,13.8,110,0.7,296,0.652,18,0.278,0.639,0.659,8.7,4,10.5,0.8,6.1,0.25,0.58,1.05,6.1,123.6,110.1
,Kevin Love,Cle,F-C,32.61,12,20.9,43.6,23.9,11.6,29,0.793,38,0.447,71,0.352,0.5,0.542,11,5.9,15.7,2.2,16.3,0.58,0.17,1.33,10,107.1,108.3
,Kyle Lowry,Tor,G,35.06,40,34.6,72.1,21.6,16.7,142,0.88,239,0.49,276,0.391,0.542,0.591,17.1,5.5,8.7,7.3,31.5,1.1,0.23,2.9,10.2,115.6,107.1
,Timothe Luwawu-Cabarrot,Bro,G-F,25.94,49,19.2,40,17.2,10.5,38,0.789,102,0.461,215,0.312,0.465,0.487,6.6,2.4,7.1,1.2,8.4,0.61,0.12,0.8,5.6,98.6,107.6
,Trey Lyles,San,F,25.45,23,15.6,32.4,12.9,5.7,23,0.652,50,0.58,40,0.35,0.556,0.574,5,3.7,12.8,0.6,5.3,0.26,0.04,0.26,5.7,115.6,110.6
,Will Magnay,Nor,C,22.85,1,3.3,6.9,25.7,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,
,Thon Maker,Cle,F-C,20,8,9.6,19.9,14.7,11.6,11,0.909,16,0.625,2,0,0.556,0.657,3.8,2.3,13.1,0.5,7.8,0.25,0.5,0.38,6.8,132,107.4
,Theo Maledon,Okc,G,19.85,50,27.4,57.2,18.8,17.5,89,0.719,219,0.402,238,0.34,0.458,0.487,9.7,3.4,6.5,3.4,18,0.92,0.12,2.1,7,93.3,108.7
,Karim Mane,Orl,G,20.92,10,8.8,18.4,8.9,16.5,5,0.8,11,0.182,2,0.5,0.269,0.362,1.1,1.4,8.3,0.4,5.9,0,0.2,0.3,3.9,76.8,105.9
,Nico Mannion,Gol,G,20.09,22,13.3,27.7,19.1,19.8,25,0.8,44,0.318,50,0.36,0.436,0.486,4.6,1.5,6.2,2.4,23.8,0.64,0.05,1.18,7.7,95,106.3
,Terance Mann,Lac,G-F,24.49,55,18.4,38.3,14.7,9.8,68,0.779,206,0.519,67,0.418,0.546,0.579,6.4,3.8,11.5,1.6,11.4,0.45,0.24,0.6,7.4,121.4,103.2
,Boban Marjanovic,Dal,C,32.67,24,9,18.8,25.1,7.4,26,0.769,96,0.51,6,0,0.48,0.52,4.9,4.4,26.5,0.3,5.2,0.04,0.21,0.38,8.3,114.5,100.2
,Lauri Markkanen,Chi,F-C,23.9,35,27.4,57,20.6,8.7,75,0.84,176,0.591,211,0.384,0.583,0.612,14.7,5.5,11.1,1,5.2,0.43,0.34,1.14,6.3,114.4,111.3
,Naji Marshall,Nor,F,23.23,16,16.8,35.1,14.1,10,38,0.737,37,0.405,27,0.333,0.445,0.527,5.3,3.4,11.1,2.2,16.5,0.56,0.38,0.56,8.1,115.8,106.3
,Kenyon Martin Jr.,Hou,F,20.28,29,19.2,40,14,10.9,44,0.75,111,0.568,33,0.364,0.563,0.597,6.7,4.8,13.2,0.7,5.3,0.52,0.9,0.69,5.9,119.6,107.7
,Caleb Martin,Cha,F,25.55,41,14.8,30.8,17.6,11.3,44,0.614,107,0.467,94,0.266,0.435,0.458,4.9,2.8,10.3,1.2,11.9,0.71,0.2,0.68,6.9,96.8,107.2
,Cody Martin,Cha,F,25.55,43,14.6,30.5,13.1,15.6,35,0.571,100,0.53,47,0.255,0.483,0.499,3.8,2.6,9.5,1.4,13.3,0.58,0.21,0.7,6.6,104.7,110
,Kelan Martin,Ind,F,25.71,19,5.1,10.7,18.2,14.5,3,1,18,0.444,16,0.313,0.456,0.481,1.8,1.1,11.3,0.2,5.5,0.26,0.11,0.32,5.8,90.3,105.2
