2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Mason,Orl,G,27.04,4,19.8,41.3,17.5,15.6,7,0.714,19,0.368,5,0.4,0.417,0.462,6.3,3,7.9,3,22,0,0,1.25,7.8,98.2,109.5
,Garrison Mathews,Was,G,24.48,49,18,37.4,11.3,3.8,74,0.892,35,0.514,163,0.405,0.591,0.651,6.1,1.5,4.4,0.5,3.5,0.51,0.12,0.18,3.7,130.8,108.3
,Dakota Mathias,Phi,G,25.77,8,15.4,32.2,17.9,1.9,6,0.333,22,0.5,26,0.308,0.479,0.474,6,0.9,3.1,1.6,15.1,0.13,0.38,0.13,5.3,107,109
,Wesley Matthews,Lal,G,34.51,47,20,41.6,11.2,8.7,35,0.857,43,0.372,163,0.331,0.471,0.506,4.8,1.6,4.5,1,6.4,0.66,0.32,0.45,3.9,104.5,103.3
,Tyrese Maxey,Phi,G,20.45,47,14.1,29.4,22.6,8.3,38,0.868,234,0.5,71,0.282,0.482,0.508,7,1.5,5.9,1.6,17.5,0.34,0.15,0.62,7.3,104.7,104.5
,Skylar Mays,Atl,G,23.61,26,7.6,15.7,19.1,8.1,21,0.857,41,0.439,29,0.345,0.471,0.53,3.2,1,7,0.8,15.4,0.42,0,0.27,7.2,115.2,109.2
,Patrick McCaw,Tor,G,25.48,5,6.7,13.9,3,0,3,1,1,1,0,0,1,1.078,1,0.6,4.9,0.8,15,0.4,0,0,4.7,232.2,97.5
,CJ McCollum,Por,G,29.58,30,33.3,69.5,28.2,6,81,0.84,289,0.495,290,0.4,0.547,0.571,23.4,3.8,6.2,4.7,24.1,1.03,0.53,1.3,9,119.5,115.4
,T.J. McConnell,Ind,G,29.06,52,25.5,53.1,14.8,22.1,34,0.618,310,0.59,31,0.323,0.581,0.586,8,3.7,7.9,6.5,34.8,1.77,0.35,1.94,9.1,117,109
,Jalen McDaniels,Cha,F-C,23.21,30,15.1,31.5,18.1,13.6,33,0.727,93,0.548,57,0.351,0.54,0.565,6.2,2.5,9.1,0.8,8.2,0.5,0.3,0.87,6.1,104.3,102.2
,Jaden McDaniels,Min,F,20.55,50,22.7,47.4,12.8,10.4,39,0.59,137,0.511,155,0.368,0.533,0.54,6.7,3.6,8.6,1.1,6.8,0.52,0.98,0.72,5.3,105.7,108.5
,Doug McDermott,Ind,F,29.29,51,24.4,50.9,19.9,7.6,71,0.845,279,0.631,223,0.381,0.605,0.625,13.1,3.6,8.2,1.3,8.2,0.31,0.08,0.86,6.5,119.6,111.6
,Sean McDermott,Mem,F,24.45,16,9.6,20.1,11.1,9.9,8,1,11,0.727,22,0.227,0.47,0.534,2.4,1.2,6.6,0.3,3.2,0.13,0.19,0.25,4,109,112.1
,JaVale McGee,Cle,C-F,33.24,33,15.2,31.8,24.6,15.8,55,0.655,195,0.549,20,0.25,0.533,0.554,8,5.2,18.8,1,11.3,0.48,1.21,1.36,9.1,102.9,96.7
,JaVale McGee,Den,C-F,33.24,4,10,20.7,22.8,28.9,4,0.5,13,0.538,0,0,0.538,0.542,4,5,28.6,0.3,3.5,0.5,0.5,1.5,7.3,89,77.6
,Rodney McGruder,Det,G,29.72,16,12.1,25.2,18.1,8.7,8,0.75,46,0.565,24,0.458,0.607,0.619,5.7,1.4,6.3,1,13.6,0.5,0.06,0.44,6.6,120.2,110.7
,Alfonzo McKinnie,Lal,F,28.58,33,6.5,13.6,16.9,4.8,17,0.529,40,0.6,32,0.438,0.625,0.623,3,1.3,11.4,0.2,4.2,0.15,0,0.12,5.7,124.8,99.7
,Jordan McLaughlin,Min,G,25.02,37,20,41.7,13.9,15.9,24,0.75,129,0.411,67,0.328,0.439,0.46,5.1,2.2,5.9,4.2,28.8,1.11,0.16,1.05,7.2,105,114.7
,Ben McLemore,Hou,G,28.18,32,16.8,35,21.1,10.5,32,0.719,58,0.431,166,0.331,0.48,0.5,7.4,2.1,6.5,0.9,7.9,0.63,0.09,0.88,5.7,94.8,108.3
,Ben McLemore,Lal,G,28.18,5,18.8,39.3,22.8,10.1,8,0.875,12,0.667,29,0.345,0.561,0.595,10.6,2,5.9,0.8,6.5,0.2,0,1,5.5,110.7,97.8
,Nicolo Melli,Nor,F,30.22,22,11,22.9,12.1,10.1,7,0.857,22,0.364,37,0.189,0.314,0.346,2,2.6,13,1.1,12.7,0.41,0.05,0.32,6.5,92.4,103.6
,Nicolo Melli,Dal,F,30.22,9,16.9,35.3,10.3,5.7,3,1,13,0.462,19,0.316,0.469,0.495,3.7,2.9,9.3,0.8,6,0.22,0.22,0.22,4.8,111.6,103.6
,De'Anthony Melton,Mem,G,22.89,35,19.9,41.4,20.1,13,35,0.771,134,0.507,139,0.453,0.595,0.61,10.1,3.2,8.6,2.7,19,1.23,0.49,1.23,8.9,116.1,104.3
,Sam Merrill,Mil,G,24.92,24,7.9,16.5,15.3,12.9,4,1,20,0.45,39,0.462,0.61,0.625,3.2,1.1,7.4,0.8,12.8,0.21,0.04,0.38,7.2,120.8,107.3
,Chimezie Metu,Sac,F-C,24.07,23,8.9,18.6,19.6,14.9,20,0.65,63,0.587,8,0.375,0.585,0.602,4.2,2.5,15.6,0.7,10.5,0.17,0.52,0.61,8.7,114.3,104.3
,Khris Middleton,Mil,F,29.68,53,33.3,69.5,24.9,13.8,181,0.89,557,0.504,269,0.431,0.551,0.591,20.2,6.1,9.6,5.5,23.6,1.11,0.19,2.74,10.6,115.3,105.9
,Darius Miller,Okc,F,31.07,18,10.9,22.8,13.4,13.1,12,1,6,0.833,42,0.405,0.635,0.685,4.1,1.3,6.4,1.2,15.4,0.67,0.28,0.44,6.8,129.1,108.3
,Paul Millsap,Den,F,36.18,44,21.8,45.4,17.2,10.3,77,0.714,191,0.555,113,0.372,0.556,0.582,8.9,4.8,12.5,1.6,10.1,0.84,0.66,0.89,7.5,118.6,104.9
,Patty Mills,San,G,32.68,53,25.6,53.4,19,8.6,65,0.908,159,0.516,354,0.387,0.56,0.585,12,1.8,3.6,2.5,14,0.64,0.04,0.96,5.9,113.8,113
,Shake Milton,Phi,G-F,24.55,48,24,49.9,24.9,12.3,142,0.852,367,0.507,157,0.338,0.507,0.556,13.6,2.3,5.3,3,19.2,0.65,0.27,1.71,7.6,109,103.5
,Donovan Mitchell,Uta,G,24.61,53,33.4,69.6,33.4,10.7,316,0.845,630,0.476,461,0.386,0.52,0.569,26.4,4.4,7,5.2,26.7,0.98,0.28,2.77,10.1,115.2,105.6
,Adam Mokoka,Chi,G,22.75,9,5.2,10.8,15.6,11.8,0,0,7,0.714,8,0.125,0.433,0.433,1.4,0.4,4.8,0.4,11.4,0.22,0.11,0.22,4.7,90.3,106
,Malik Monk,Cha,G,23.2,32,21.7,45.2,24.6,11.8,65,0.815,157,0.497,165,0.424,0.568,0.598,13.1,2.7,6.7,1.9,14.2,0.5,0.13,1.47,7.5,109.8,111.7
,E'Twaun Moore,Pho,G,32.14,24,14.5,30.2,15.9,14.5,10,0.8,73,0.479,29,0.276,0.461,0.479,4.3,1.8,6.8,1.5,13.1,0.58,0.17,0.75,6.2,98.8,104.4
,Ja Morant,Mem,G,21.69,46,31.9,66.4,27.5,14.8,272,0.739,534,0.5,159,0.27,0.478,0.532,18.8,3.5,5.9,7.3,33.7,0.85,0.17,3.07,9.8,107.8,112.1
,Juwan Morgan,Uta,F,24,20,4.4,9.1,10.9,9.1,7,0.429,6,0.667,11,0.273,0.5,0.498,1,0.8,9.6,0.2,5.9,0.2,0,0.1,4.9,112.6,94.3
,Marcus Morris Sr.,Lac,F,31.62,45,26.1,54.4,19.8,7.8,64,0.813,222,0.464,234,0.474,0.591,0.61,13.1,4,8.7,1.1,5.9,0.58,0.24,0.91,5.9,116.8,106.7
,Markieff Morris,Lal,F,31.62,48,20.2,42.1,16.1,11.7,41,0.732,130,0.562,169,0.355,0.545,0.561,7.4,4.6,12.7,1.1,7.9,0.33,0.33,0.88,6.6,107.9,99.4
,Monte Morris,Den,G,25.81,44,26.1,54.5,16.3,7.5,71,0.789,235,0.532,130,0.377,0.544,0.572,10.3,2.2,4.7,3.2,16.4,0.7,0.3,0.73,6.4,121,114.4
,Mychal Mulder,Gol,G,26.85,45,10,20.8,14.7,5.8,19,0.579,20,0.65,117,0.368,0.566,0.571,3.7,0.8,4.3,0.4,5.5,0.2,0.2,0.2,4.2,106.9,110.8
,Dejounte Murray,San,G,24.57,52,31.7,66,23.5,10.1,104,0.808,594,0.487,160,0.325,0.487,0.511,15.7,6.9,11.6,5.3,25.5,1.62,0.1,1.73,10.5,105.6,105.9
,Jamal Murray,Den,G,24.15,48,35.5,73.9,24.8,11.1,153,0.869,476,0.523,316,0.408,0.559,0.592,21.2,4,6.5,4.8,20.1,1.33,0.27,2.23,8.4,116.7,111.3
,Mike Muscala,Okc,F-C,29.8,35,18.4,38.4,20.2,6.9,36,0.917,83,0.614,184,0.37,0.573,0.599,9.7,3.8,10.7,0.8,7,0.23,0.31,0.6,6.7,115,107.8
,Svi Mykhailiuk,Det,G-F,23.85,36,17.6,36.7,18.9,14.2,30,0.8,52,0.519,171,0.333,0.504,0.527,6.9,2.1,6.5,1.6,13.5,0.75,0.17,1.08,6.5,99.5,110.9
,Svi Mykhailiuk,Okc,G-F,23.85,16,23.5,49,19.1,14.3,15,0.667,67,0.567,70,0.343,0.54,0.55,9.9,3.1,6.9,1.6,10.4,0.88,0.19,1.5,6.2,99.5,113.9
,Abdel Nader,Pho,F,27.56,24,14.8,30.8,18.9,12.6,37,0.757,73,0.534,43,0.419,0.569,0.605,6.7,2.6,9.8,0.8,7.3,0.42,0.38,0.79,6.5,110.1,102.4
,Larry Nance Jr.,Cle,F-C,28.29,31,32,66.7,13.8,15.3,45,0.644,146,0.548,100,0.37,0.551,0.564,9.7,6.8,11.9,3,13.7,1.87,0.55,1.55,7.3,110.3,107.6
,Aaron Nesmith,Bos,G-F,21.5,31,13,27,12.6,12.8,16,0.688,27,0.481,68,0.324,0.484,0.505,3.3,2.1,9,0.3,3.2,0.29,0.19,0.48,3.9,98.8,105.6
,Raul Neto,Was,G,28.91,49,20.1,42,16.7,9.3,54,0.833,213,0.502,123,0.366,0.519,0.548,8,2.2,5.8,2.1,14.4,1.08,0.08,0.76,6.6,109.7,108.5
,Georges Niang,Uta,F,27.83,56,14.3,29.7,16.5,11.4,7,1,68,0.5,202,0.411,0.587,0.593,5.8,2.3,8.4,0.7,6.9,0.3,0.09,0.63,5.9,111.4,100.7
,Zeke Nnaji,Den,F-C,20.27,35,9.8,20.4,12.8,7,15,0.8,38,0.632,49,0.408,0.621,0.641,3.4,1.6,9.1,0.1,1.9,0.14,0.11,0.2,3.3,124.8,110.3
,Nerlens Noel,Nyk,C-F,27.02,50,23.3,48.5,9.8,22.7,54,0.685,175,0.606,2,0,0.599,0.62,5,6.4,14.7,0.7,4.1,1.04,2.14,1.18,4.8,114.1,96.7
,Jaylen Nowell,Min,G,21.77,38,18.8,39.1,21.6,7.3,51,0.824,179,0.497,139,0.338,0.502,0.53,9.5,2.3,6.8,1.6,13,0.55,0.26,0.71,7,106.6,110.7
,Frank Ntilikina,Nyk,G,22.72,22,11.7,24.3,14.1,12.2,16,0.5,27,0.222,38,0.474,0.508,0.514,3.4,1.1,5,0.6,7.6,0.68,0.05,0.45,4.5,99.9,96.7
,James Nunnally,Nor,F,30.76,1,9.1,19,14,0,0,0,0,0,3,0,0,0,0,2,12.1,0,0,0,0,0,0,0,117.9
,Kendrick Nunn,Mia,G,25.71,42,28.3,59.1,21,11.5,46,0.913,244,0.553,227,0.361,0.548,0.568,13.3,3.1,6.2,2.7,15.4,1.02,0.26,1.52,6.8,105.4,107.3
,Jusuf Nurkic,Por,C,26.65,21,22.4,46.7,20.9,19.7,52,0.577,139,0.511,21,0.333,0.509,0.528,9.2,7.5,18,3.2,21,0.95,0.9,2.14,10.8,105.1,101.5
,David Nwaba,Hou,G-F,28.26,30,22.6,47.1,16.6,6.4,68,0.691,154,0.578,63,0.27,0.528,0.559,9.2,3.9,9.3,1,7,1,0.7,0.57,5.8,115.1,108.2
,Jordan Nwora,Mil,F,22.6,22,9.8,20.4,24.8,13.3,19,0.789,54,0.426,48,0.438,0.534,0.562,5.6,1.9,10,0.3,4.5,0.59,0.23,0.77,6,99.7,103.4
,Semi Ojeleye,Bos,F,26.37,46,17.7,36.8,11.5,7.9,32,0.75,51,0.431,134,0.388,0.541,0.563,4.9,2.7,8.4,0.7,5.3,0.24,0,0.37,4.7,116.4,111.5
,Jahlil Okafor,Det,C-F,25.34,16,10.4,21.6,16.7,9.4,8,0.875,48,0.625,6,0.333,0.611,0.635,4.6,2.1,11.4,0.6,9,0.19,0.19,0.38,6.9,123.6,106.1
,Chuma Okeke,Orl,F,22.66,39,24.4,50.8,13.5,10.5,35,0.743,139,0.482,110,0.355,0.504,0.524,7.1,4,8.6,2.2,13.3,0.85,0.51,0.79,6.5,109.3,111.9
,Josh Okogie,Min,G,22.63,44,20.8,43.4,12.1,13.3,78,0.821,112,0.464,82,0.28,0.446,0.519,5.4,2.5,6.6,1.1,6.9,1,0.45,0.8,4.7,105,108.9
,Onyeka Okongwu,Atl,F-C,20.35,34,10.8,22.4,14.6,12.2,41,0.585,89,0.64,1,0,0.633,0.639,4.1,3,15.2,0.2,3.2,0.41,0.59,0.44,5,122,95
,Isaac Okoro,Cle,F-G,20.22,50,31.9,66.4,12.7,14.6,91,0.714,218,0.5,140,0.307,0.485,0.518,8.2,2.8,4.9,1.8,8,1.06,0.44,1.36,4.3,100.1,109.8
,KZ Okpala,Mia,F-G,21.97,27,12.3,25.6,10.9,14.9,6,0.333,29,0.552,37,0.297,0.492,0.488,2.5,1.9,8.7,0.4,5.1,0.22,0.3,0.44,4,95.3,100.2
,Victor Oladipo,Ind,G,28.95,9,33.3,69.3,26.7,9.7,37,0.73,83,0.47,69,0.362,0.503,0.535,20,5.7,9.4,4.2,19.1,1.67,0.22,2,9.4,104.5,106.9
,Victor Oladipo,Hou,G,28.95,20,33.5,69.7,29.9,10.9,83,0.783,228,0.465,153,0.32,0.471,0.508,21.2,4.8,7.6,5,25.5,1.2,0.5,2.55,9.5,100.2,110.7
,Victor Oladipo,Mia,G,28.95,4,27.8,57.9,26.3,21.6,18,0.667,26,0.462,17,0.235,0.419,0.471,12,3.5,7.1,3.5,19.4,1.75,0.5,3.5,7.6,85.4,99.8
,Kelly Olynyk,Mia,F-C,30,43,26.9,56,17.5,12.3,40,0.775,134,0.634,242,0.318,0.533,0.549,10,6.1,12.8,2.1,12,0.93,0.6,1.28,7.5,105,100.1
,Kelly Olynyk,Hou,F-C,30,12,30.1,62.8,20.3,12.8,33,0.848,76,0.75,60,0.417,0.695,0.721,18.1,7.9,14,2.7,15.1,1,0.75,1.83,9.7,129.3,105.6
,Royce O'Neale,Uta,F,27.87,55,31.9,66.5,9.2,16.4,42,0.857,84,0.571,213,0.376,0.566,0.59,6.8,6.9,11.4,2.5,10,0.76,0.49,1.13,6.1,119.6,101.8
,Miye Oni,Uta,G-F,23.7,40,8.9,18.6,11.4,13.7,6,0.833,9,0.444,70,0.343,0.506,0.521,2.1,1.7,9.9,0.4,5.1,0.15,0.18,0.33,5.1,106.7,99.4
,Cedi Osman,Cle,F,26.03,49,24.1,50.1,20.3,9.5,74,0.743,204,0.436,260,0.3,0.444,0.47,9.5,3.3,7.6,2.6,16.3,0.9,0.16,1.06,7.2,98.9,109.2
,Daniel Oturu,Lac,C,21.57,21,3.9,8.1,16.7,16.3,4,0.5,23,0.522,1,0,0.5,0.505,1.2,1,14.5,0.3,10,0.05,0.14,0.24,7.3,,
,Kelly Oubre Jr.,Gol,F-G,25.35,50,30.8,64.3,21.7,7.9,149,0.698,399,0.519,259,0.317,0.502,0.528,15.3,6,10.4,1.4,6.7,1.06,0.76,1.24,6.6,103,107.1
,Jabari Parker,Sac,F,26.09,3,9.1,19,15.7,30,0,0,6,0.667,1,0,0.571,0.571,2.7,2,12.2,0.3,4.9,0,0.33,1,5.2,82.7,106.6
,Eric Paschall,Gol,F,24.45,39,17.3,36.1,23.5,11,89,0.719,240,0.529,53,0.321,0.52,0.555,9.5,3.2,9.8,1.3,11.7,0.31,0.18,1.05,7.9,104.9,105.8
,Anzejs Pasecniks,Was,C-F,25.32,1,6.3,13.1,39.7,83.3,0,0,0,0,1,0,0,0,0,1,8.4,1,18.3,0,0,5,0,20.6,89.1
,Patrick Patterson,Lac,F,32.09,29,14,29.2,14.6,8.2,16,0.75,35,0.629,81,0.383,0.591,0.605,5.1,1.8,7.1,0.7,6.9,0.38,0.28,0.38,5.3,119.7,104.8
,Justin Patton,Hou,C,23.84,13,19,39.5,13.1,5.3,4,0.75,36,0.556,34,0.265,0.479,0.488,5.4,3.8,10.6,1.1,8.2,0.92,1.08,0.31,5.9,107.9,101.7
,Chris Paul,Pho,G,35.95,54,31.6,65.8,22,14,144,0.931,469,0.537,195,0.364,0.54,0.585,15.8,4.6,8.2,8.8,39.6,1.52,0.19,2.19,10.9,122.1,104.1
,Cameron Payne,Pho,G,26.69,44,17.2,35.9,18.5,14.5,37,0.892,146,0.521,108,0.407,0.559,0.586,7.2,2.3,7.4,3.8,29.8,0.61,0.2,1.05,9.3,119.1,102.6
,Gary Payton II,Gol,G,28.37,4,2.8,5.7,30.1,12.9,4,0.75,3,0.667,2,0.5,0.7,0.74,2.5,1.3,24.2,0,0,1,0.25,0.25,0,,
,Elfrid Payton,Nyk,G,27.15,48,25.9,54,23.3,12.5,99,0.697,445,0.479,85,0.282,0.47,0.494,11.8,3.8,7.8,3.5,21.7,0.73,0.19,1.71,8.3,102.2,105.1
,Norvel Pelle,Bro,C,28.2,3,9.3,19.3,15.6,30,0,0,7,0.429,0,0,0.429,0.429,2,2.3,14.1,0,0,0,1,1,0,75.7,83.2
,Norvel Pelle,Sac,C,28.2,1,3.8,7.9,31.1,0,4,0.75,1,0,0,0,0,0.543,3,1,14.6,1,29.6,0,0,0,15.2,,
,Norvel Pelle,Nyk,C,28.2,3,5.5,11.4,10.4,0,2,0.5,3,0.667,0,0,0.667,0.644,1.7,2,19.7,0,0,0.33,1,0,0,137.9,105
,Reggie Perry,Bro,F-C,21.07,21,9.5,19.7,20.5,14.9,13,0.769,54,0.5,20,0.2,0.446,0.477,3.6,3.1,18.6,0.7,9.5,0.29,0.29,0.67,8.4,101.5,95.3
,Theo Pinson,Nyk,G-F,25.45,14,2.2,4.6,14.3,10,0,0,1,1,8,0,0.111,0.111,0.1,0.1,3.5,0.1,4.2,0,0,0.07,1.8,,
,Mason Plumlee,Det,F-C,31.12,51,27,56.2,16.3,18.7,157,0.669,342,0.617,7,0,0.605,0.63,10.3,9.1,18.7,3.5,20.3,0.82,0.86,1.88,10.2,121,99.9
,Jakob Poeltl,San,C,25.51,54,26,54.3,13.4,16.1,93,0.419,324,0.623,0,0,0.623,0.607,8.2,8,16.3,1.8,9.8,0.61,1.65,1.3,7.5,121.3,105.3
,Vincent Poirier,Phi,C-F,27.5,10,3.9,8.1,19.3,17,6,0.333,11,0.273,1,0,0.25,0.273,0.8,1.3,18.3,0.2,6.6,0,0.3,0.3,6.1,,
,Aleksej Pokusevski,Okc,C,19.31,33,23.5,49,19.5,17.6,26,0.846,130,0.385,149,0.289,0.41,0.432,7.6,4.8,10.6,1.9,12,0.42,1,1.88,7,82.6,111
,Jordan Poole,Gol,G,21.83,35,17.9,37.4,24.6,9.4,63,0.905,130,0.554,170,0.347,0.535,0.577,10.8,1.4,4.2,2,17,0.49,0.11,0.97,7,109.3,108.1
,Kevin Porter Jr.,Hou,G-F,20.95,19,31.6,65.9,24.9,19.4,62,0.726,149,0.523,107,0.262,0.469,0.503,15,3.9,6.6,6.4,31.7,0.84,0.37,3.58,9.1,96.5,111.6
,Michael Porter Jr.,Den,F,22.8,46,30.6,63.8,20.9,7.6,99,0.768,318,0.629,260,0.427,0.634,0.651,17.6,7.7,14.4,1,4.7,0.63,0.93,1.11,6.7,124.8,108.2
,Otto Porter Jr.,Chi,F,27.87,25,21.6,45,19.4,10.3,37,0.838,107,0.477,95,0.4,0.535,0.566,9.9,5.5,14.2,2,12.9,0.48,0.16,1,8.8,113.8,108.4
,Otto Porter Jr.,Orl,F,27.87,3,22.2,46.2,17.7,0,5,1,16,0.5,9,0.111,0.38,0.441,8,4.7,11,1.7,11.3,1.33,0,0,7.2,101.4,106.2
,Jontay Porter,Mem,C-F,21.42,5,3.8,8,26.5,41.7,0,0,2,0.5,5,0.2,0.357,0.357,1,1.8,25.1,0.2,6.7,0.4,0,1,7.5,,
,Bobby Portis,Mil,F,26.18,51,21.5,44.9,20.3,8.1,48,0.75,344,0.541,123,0.472,0.585,0.596,11.4,7.3,17.7,1.2,7.7,0.78,0.37,0.84,8.6,119.9,102.5
,Kristaps Porzingis,Dal,F-C,25.71,36,31.2,65.1,27.4,7.3,118,0.847,364,0.549,227,0.366,0.549,0.582,20.8,9.4,16.4,1.6,8.4,0.42,1.58,1.42,8.7,115,104.9
,Dwight Powell,Dal,F-C,29.74,41,14.5,30.3,13.3,12.9,77,0.779,102,0.588,20,0.25,0.553,0.625,4.8,3.4,12.8,0.8,7.3,0.56,0.32,0.56,6.5,127.5,98.5
,Norman Powell,Tor,G,27.9,42,30.4,63.4,24.2,10.8,163,0.865,297,0.552,269,0.439,0.602,0.645,19.6,3,5.4,1.8,9.9,1.12,0.19,1.83,6.2,117.1,110
,Norman Powell,Por,G,27.9,11,33.2,69.3,21.2,10.5,48,0.833,80,0.5,60,0.383,0.532,0.587,17.2,3.4,5.4,1.6,7.3,1.55,0.55,1.73,5.5,113.6,113.6
,Taurean Prince,Bro,F,27.07,12,18.2,37.8,19.3,11.4,27,0.889,37,0.459,37,0.351,0.493,0.565,8.1,2.8,8.7,0.6,4.2,0.67,0.67,0.92,5.2,105.2,105.9
,Taurean Prince,Cle,G,27.07,26,24,50,20.1,11.8,46,0.826,127,0.378,106,0.425,0.496,0.531,10.3,3.9,9,2.5,15.7,0.65,0.58,1.31,7.7,105.2,109
,Payton Pritchard,Bos,G,23.22,50,18.7,39,15.9,12.5,26,0.885,128,0.492,161,0.404,0.555,0.572,6.9,2.2,6.6,1.9,13.7,0.54,0.14,0.86,6.6,113.9,108.1
,Immanuel Quickley,Nyk,G,21.83,52,19.2,40.1,26.5,7.7,145,0.897,241,0.394,250,0.376,0.481,0.543,11.6,2.3,6.3,2.1,17.2,0.48,0.21,0.88,8,112.3,103.1
,Jahmi'us Ramsey,Sac,G,19.86,5,3.4,7,15.3,16.7,0,0,2,1,3,0.333,0.7,0.7,1.4,0.8,13.2,0.2,8.4,0,0.2,0.2,7.1,,
,Chasson Randle,Orl,G,28.2,25,19.7,41.1,13.6,18.1,20,0.8,48,0.396,70,0.357,0.479,0.509,5.2,1.8,4.8,1.9,13.4,0.48,0.08,1.12,5.3,95.5,108.8
,Julius Randle,Nyk,F-C,26.38,56,37.2,77.5,28.7,14.3,328,0.799,728,0.484,288,0.41,0.521,0.569,23.6,10.6,15.4,6,27.6,0.89,0.27,3.45,12.3,110.7,99.9
,Cam Reddish,Atl,F-G,21.63,26,28.9,60.1,19.3,10.2,82,0.817,137,0.46,126,0.262,0.428,0.488,11.2,4,7.6,1.3,6.6,1.27,0.35,1.31,5.4,99,106.5
,JJ Redick,Nor,G,36.81,31,18.6,38.8,19.1,9.6,47,0.957,74,0.486,140,0.364,0.526,0.575,8.7,1.7,5,1.3,9.6,0.29,0.06,0.81,5.8,112.7,113.1
,JJ Redick,Dal,G,36.81,3,15.3,31.9,22.6,21.4,3,0.667,6,0.167,11,0.545,0.588,0.6,7.3,2,7.1,1,9.4,0.33,0,1.67,6.4,97.4,113
,Paul Reed,Phi,F,21.84,17,6.6,13.7,20.6,14.9,4,0.25,38,0.553,6,0,0.477,0.47,2.5,1.8,15.3,0.4,8.1,0.29,0.41,0.47,7.4,96.1,94.9
,Naz Reid,Min,C-F,21.64,55,19.3,40.3,22.2,9.8,138,0.732,313,0.588,133,0.338,0.564,0.596,11,4.6,12.8,1.1,9.2,0.55,1.07,1,7.9,114,104.8
,Cameron Reynolds,San,F,26.19,3,2.1,4.3,14,0,0,0,2,0.5,0,0,0.5,0.5,0.7,0,0,0,0,0,0,0,0,,
,Nick Richards,Cha,C,23.38,15,3.7,7.7,11.5,20.2,11,0.636,7,0.571,0,0,0.571,0.633,1,0.6,8.8,0.1,2.4,0,0,0.2,4.2,,
,Josh Richardson,Dal,G,27.59,45,31.9,66.6,17.7,10.8,89,0.91,255,0.525,217,0.318,0.503,0.544,12.4,3.6,6.1,2.8,12.6,0.91,0.42,1.38,6.3,109.9,109.2
,Grant Riller,Cha,G,24.19,3,3.4,7.1,12.6,0,0,0,1,0,2,0.5,0.5,0.5,1,0,0,0.7,26.7,0,0,0,0,,
,Austin Rivers,Nyk,G,28.71,21,21.1,43.9,16.3,13.5,14,0.714,58,0.517,77,0.364,0.533,0.545,7.3,2.2,5.7,2,14,0.57,0,1.05,6,105.4,105.6
,Andre Roberson,Bro,G-F,29.37,5,12.6,26.2,11.7,11.8,2,0.5,6,0.167,8,0.125,0.179,0.202,1.2,3,13.4,0.8,7.4,0.6,0.2,0.4,4.5,78.4,109.3
