2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glenn Robinson III,Sac,F,27.27,23,16.1,33.5,13.9,9.2,23,0.913,55,0.473,44,0.364,0.505,0.554,5.3,2,6.8,0.9,7,0.17,0.13,0.48,5.3,112.1,117.6
,Duncan Robinson,Mia,F,26.99,56,32.1,66.9,16.2,10.4,59,0.847,77,0.623,475,0.408,0.614,0.63,13,3.6,6.3,1.8,8.6,0.54,0.27,1.2,5.5,111.7,106.7
,Jerome Robinson,Was,G,24.15,17,17.9,37.4,16.8,15.5,20,0.8,53,0.321,42,0.262,0.353,0.4,4.9,2.2,6.6,1.5,10.5,0.71,0.35,1.12,5.7,79.9,106.3
,Justin Robinson,Okc,G,23.51,6,12.1,25.1,12.6,4.7,5,0.6,5,0.6,13,0.308,0.5,0.52,3.5,1,4.3,1.3,15.6,0.33,0,0.17,5.5,116.5,108.2
,Mitchell Robinson,Nyk,C-F,23.04,31,27.5,57.3,11.7,11.5,53,0.491,176,0.653,0,0,0.653,0.642,8.3,8.1,15.9,0.5,3,1.13,1.45,0.84,4.7,129.6,99.3
,Isaiah Roby,Okc,F,23.2,46,23.5,49,17.5,19.2,93,0.71,240,0.55,76,0.329,0.536,0.567,8.8,5.7,12.5,1.8,11.8,0.8,0.67,1.85,7.6,103.6,103.3
,Rajon Rondo,Atl,G,35.15,27,14.9,31,16.2,26,2,0.5,65,0.415,45,0.378,0.477,0.478,3.9,2,7.5,3.5,32.6,0.7,0.07,1.44,8.1,97.4,108.9
,Rajon Rondo,Lac,G,35.15,7,18.5,38.6,18.7,25.6,6,1,22,0.5,16,0.438,0.566,0.603,7,2.3,7,5.1,37.6,0.86,0.14,2,9.4,117.6,102.5
,Derrick Rose,Det,G,32.53,15,22.8,47.4,30,12.3,50,0.84,145,0.455,39,0.333,0.465,0.517,14.2,1.9,4.7,4.2,32.6,1.2,0.27,1.93,8.5,104,111.4
,Derrick Rose,Nyk,G,32.53,21,24.9,51.8,24.2,9.4,43,0.86,187,0.444,53,0.358,0.465,0.502,12.4,2.4,5.2,3.8,25,0.95,0.57,1.29,7.8,106,109.1
,Terrence Ross,Orl,G-F,30.2,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.2,1.02,0.46,1.59,6.9,103.1,109.9
,Terry Rozier,Cha,G,27.09,52,33.9,70.6,24.1,10.3,151,0.828,395,0.537,427,0.4,0.57,0.598,20.4,4.2,6.7,3.7,17.5,1.29,0.38,1.96,8,114.2,111.2
,Ricky Rubio,Min,G,30.49,53,26.2,54.6,16.2,17.9,130,0.862,229,0.432,153,0.301,0.44,0.51,8.5,3.2,6.7,6.6,35,1.45,0.06,1.81,8.6,110.8,110.3
,D'Angelo Russell,Min,G,25.15,27,27.9,58.1,30.2,13.5,96,0.802,232,0.453,193,0.404,0.522,0.558,19.3,2.5,4.8,4.9,30.2,1,0.41,2.7,8.9,106,114.1
,Domantas Sabonis,Ind,F-C,24.95,52,35.8,74.5,24.3,16.5,297,0.731,615,0.567,135,0.296,0.545,0.588,19.9,11.5,17.8,6,25.2,1.12,0.56,3.35,12.4,113.7,103.5
,Luka Samanic,San,F,21.27,22,9.3,19.4,19.4,15.3,21,0.524,35,0.657,33,0.273,0.537,0.544,3.8,2.2,12.7,0.5,7.6,0.18,0.18,0.64,6.9,100,100.9
,JaKarr Sampson,Ind,F,28.08,20,7.7,16,19.8,9.9,20,0.7,47,0.511,8,0.25,0.491,0.533,3.4,2.1,15.1,0.1,0.9,0.1,0.35,0.35,4.6,105.6,101.2
,Dario Saric,Pho,F-C,27.03,37,17.9,37.3,23.6,12.2,73,0.863,167,0.527,109,0.367,0.536,0.583,9.7,4.2,13.2,1.3,10.6,0.57,0.08,1.16,8.4,111.5,100.2
,Tomas Satoransky,Chi,G,29.46,43,24,49.9,14.6,21.2,54,0.907,162,0.58,90,0.389,0.581,0.62,8,2.5,5.7,5.1,28.1,0.79,0.26,1.72,7.8,119.6,110.7
,Dennis Schroder,Lal,G,27.59,52,31.7,66.1,23,16.5,225,0.844,462,0.463,169,0.343,0.477,0.542,15.2,3.4,6,5.4,25.2,1.17,0.21,2.77,8.2,105.9,101.5
,Mike Scott,Phi,F,32.75,37,17.5,36.5,11.8,9.5,10,0.6,34,0.441,123,0.333,0.487,0.493,4.3,2.6,8.3,0.6,4.8,0.54,0.19,0.46,4.3,98,102.6
,Collin Sexton,Cle,G,22.28,46,35.8,74.5,28.8,10.9,279,0.817,645,0.518,201,0.363,0.524,0.575,24.2,2.8,4.4,4.1,20.8,1.15,0.09,2.59,7.3,111.3,111.1
,Landry Shamet,Bro,G,24.1,45,20.8,43.3,17.4,9.6,54,0.852,83,0.434,232,0.397,0.552,0.582,8.8,1.8,4.8,1.3,8,0.53,0.11,0.8,5.3,111.1,112.2
,Iman Shumpert,Bro,G,30.81,2,5.5,11.5,19.7,20,0,0,1,1,3,0,0.25,0.25,1,0.5,5.1,0,0,0.5,0,0.5,0,55.9,117.1
,Pascal Siakam,Tor,F,27.04,46,35.6,74.1,25.6,10.2,255,0.839,565,0.512,195,0.282,0.489,0.549,20.8,7.2,11.1,4.7,21.2,1.09,0.76,2.15,10,112.5,106.4
,Chris Silva,Mia,F,24.57,11,7.5,15.7,15.5,31.5,15,0.733,12,0.667,1,1,0.731,0.765,2.7,2.3,17,0.5,10.6,0.09,0.45,0.82,7.8,116.4,85.1
,Chris Silva,Sac,F,24.57,2,2,4.2,32.1,33.3,0,0,2,0.5,0,0,0.5,0.5,1,0.5,13.9,0,0,0,0,0.5,0,,
,Ben Simmons,Phi,G-F,24.74,48,33.3,69.3,20.8,20.5,265,0.615,491,0.55,10,0.3,0.548,0.576,14.8,7.6,12.6,7.1,31.4,1.6,0.65,3.31,11.1,111.6,99.5
,Anfernee Simons,Por,G,21.86,47,16.2,33.8,20.1,9.3,40,0.825,91,0.374,214,0.421,0.554,0.575,7.9,2.2,7.4,1.4,12.3,0.21,0.13,0.7,7.2,113.7,111.2
,Deividas Sirvydis,Det,F-G,20.85,13,2.7,5.7,23,10.7,4,0.75,3,0,12,0.333,0.4,0.447,1.2,0.6,12.5,0.2,8.2,0.08,0,0.15,7.8,,
,Alen Smailagic,Gol,F,20.66,7,5.1,10.7,17.5,0,4,0.25,8,0.5,5,0.4,0.538,0.508,2.1,0.9,8.9,0.1,4,0,0.43,0,4.5,110.3,100.7
,Marcus Smart,Bos,G,27.12,37,32.5,67.7,18.2,13,133,0.789,173,0.48,209,0.359,0.512,0.563,13.4,3.2,5.5,5.6,23.5,1.46,0.54,1.78,7.6,117.7,108.9
,Dennis Smith Jr.,Nyk,G,23.39,3,9.2,19.2,21.7,7.3,6,0.833,6,0.333,4,0,0.2,0.356,3,0.7,3.9,1,14.7,1,0,0.33,5.6,83.7,92.5
,Dennis Smith Jr.,Det,G,23.39,20,19.6,40.9,18.7,14.8,20,0.7,80,0.463,55,0.345,0.485,0.504,7.3,2.7,7.5,3.7,28.8,1,0.7,1.25,8.5,106.1,106.7
,Ish Smith,Was,G,32.78,27,20.2,42,15.6,13.7,19,0.526,142,0.437,26,0.346,0.449,0.456,6,3.3,8.7,4.2,28.3,0.67,0.22,1.04,8.6,102.5,111
,Jalen Smith,Pho,F-C,21.09,19,4.3,9,18.1,15,3,0.333,17,0.471,10,0.2,0.407,0.406,1.2,0.8,11,0.1,3.2,0,0.11,0.26,4.3,80.2,103.2
,Tony Snell,Atl,G,29.43,40,21,43.7,8.8,10.6,11,1,49,0.408,98,0.571,0.707,0.721,5.5,2.4,6.2,1.3,8.2,0.23,0.25,0.45,4.9,136.4,110.8
,Ray Spalding,Hou,F,24.1,2,9.4,19.5,18,38.1,2,0,3,0.667,1,0,0.5,0.41,2,2,11.4,0,0,0,1,1.5,0,60.2,103.1
,Cassius Stanley,Ind,G,21.66,15,2.6,5.3,24.9,4.5,5,0.8,13,0.308,6,0.167,0.289,0.354,1,0.7,14.4,0,0,0,0.13,0.07,0,,
,Lamar Stevens,Cle,F,23.77,38,12.8,26.7,16,12.3,51,0.725,110,0.518,25,0.16,0.467,0.518,4.3,2.5,10.8,0.6,7.3,0.45,0.34,0.58,5.8,102.8,105.1
,Isaiah Stewart,Det,F-C,19.9,54,20,41.6,14.4,14.1,60,0.65,252,0.595,27,0.407,0.597,0.609,6.9,6.2,17.3,0.9,6.9,0.5,1.04,0.93,6.8,118.9,101.2
,Max Strus,Mia,G-F,25.05,29,12.5,26,17.5,2.8,17,0.647,25,0.92,104,0.365,0.62,0.626,5.9,0.9,4.1,0.6,7.5,0.21,0.03,0.14,4.7,120.4,107.5
,Edmond Sumner,Ind,G,25.29,42,14.3,29.8,18.3,15.2,58,0.793,128,0.594,64,0.375,0.583,0.621,6.4,1.6,6.2,0.7,6.8,0.6,0.17,0.93,5.4,108.4,107.3
,Jae'Sean Tate,Hou,F,25.47,56,28.9,60.2,15.5,11.6,111,0.73,325,0.618,146,0.308,0.57,0.594,11,5.4,9.9,2.1,11,1.2,0.55,1.21,6.9,117.9,106.2
,Jayson Tatum,Bos,F-G,23.12,50,35.5,74,30.3,10.2,237,0.873,641,0.501,375,0.384,0.529,0.572,25.6,7.1,11.1,4.2,19.9,1.22,0.44,2.54,10.3,112.9,109.6
,Jeff Teague,Bos,G,32.85,34,18.1,37.8,17.8,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.2,2.1,16.1,0.76,0.21,1.15,6.4,107.4,110
,Jeff Teague,Mil,G,32.85,8,18.4,38.4,15.9,10.8,20,0.9,29,0.552,12,0.333,0.537,0.622,7.8,1.4,3.9,3.5,24.1,0.13,0.38,0.75,7.3,132.6,111.7
,Garrett Temple,Chi,G-F,34.94,39,26.6,55.4,13.4,11.7,38,0.816,128,0.523,141,0.333,0.511,0.535,7.8,2.9,6.1,2,9.7,0.9,0.46,0.97,5.4,106.5,108.5
,Tyrell Terry,Dal,G,20.55,11,5.1,10.7,15.2,10.4,3,0.333,9,0.556,7,0,0.313,0.318,1,0.5,5.8,0.5,14.1,0.45,0,0.18,4.9,74.7,109.6
,Daniel Theis,Bos,F-C,29.03,42,24.5,50.9,15.1,11.4,67,0.687,193,0.653,95,0.347,0.609,0.625,9.5,5.2,12,1.6,9.2,0.6,1.02,0.98,7,122,103.3
,Daniel Theis,Chi,F,29.03,10,22.8,47.4,17.5,11.9,22,0.545,50,0.7,22,0.227,0.59,0.594,9.7,4.8,11.7,2,12.4,0.5,0.6,1.1,8,115.4,109.7
,Brodric Thomas,Hou,G,24.22,4,6.1,12.6,24.8,28.4,7,0.714,1,1,6,0.167,0.357,0.496,2.5,1,8.8,1,22.7,0.25,0.25,1,8.9,88.2,95.2
,Brodric Thomas,Cle,G,24.22,14,9.7,20.2,18,14.3,16,0.813,21,0.381,20,0.2,0.341,0.427,2.9,1,5.7,0.7,10.3,0.43,0.29,0.57,5.2,86.7,107.1
,Isaiah Thomas,Nor,G,32.19,3,16.1,33.5,29.8,17.7,2,1,15,0.4,12,0.25,0.389,0.412,7.7,1.3,4.6,1.7,15,0.33,0,2,6.4,78.3,113.5
,Matt Thomas,Tor,G,26.7,26,7.4,15.4,16,8.4,7,0.857,21,0.333,41,0.415,0.524,0.545,2.7,0.8,6,0.3,6.7,0.08,0,0.23,4.7,105.7,114.2
,Matt Thomas,Uta,G,26.7,6,9.1,18.9,23.6,13.3,0,0,6,0.667,20,0.15,0.327,0.327,2.8,1.5,8.7,0.8,12.6,0.17,0,0.67,6.6,71.4,104.4
,Tristan Thompson,Bos,C-F,30.1,41,22.6,47,15.6,12,96,0.604,249,0.542,3,0,0.536,0.557,8,8.2,20.2,1.1,6.8,0.37,0.46,0.98,7.4,118.4,104.5
,Sindarius Thornwell,Nor,G,26.42,14,5.2,10.9,15,15.5,2,0,12,0.333,9,0.333,0.405,0.388,1.2,0.4,3.8,0.3,7,0.36,0.07,0.29,4,76.3,112.8
,Matisse Thybulle,Phi,G-F,24.12,53,19.4,40.5,9,10.2,16,0.5,73,0.575,114,0.307,0.505,0.508,3.7,1.9,5.3,0.9,5.9,1.49,1,0.42,3.8,105.3,99.3
,Killian Tillie,Mem,F-C,23.12,11,9.9,20.6,15.6,2.5,5,0.8,14,0.357,23,0.217,0.338,0.37,2.6,1.4,7.3,0.4,4.6,0.45,0.55,0.09,4.6,90.2,102.5
,Xavier Tillman,Mem,F,22.26,44,18.2,38,14.2,11.5,42,0.69,170,0.606,50,0.3,0.57,0.587,6.4,4.1,11.9,1.3,9.7,0.77,0.57,0.7,7.1,117.1,101.4
,Obi Toppin,Nyk,F,23.12,47,11.3,23.6,15.9,10.9,22,0.727,97,0.619,65,0.277,0.537,0.553,4,2.2,10.5,0.5,6.5,0.26,0.23,0.45,5.8,106.9,102.4
,Juan Toscano-Anderson,Gol,F,28.02,39,18,37.4,11,20,23,0.739,77,0.688,57,0.439,0.675,0.687,5.1,3.8,11.3,2.2,16.5,0.62,0.44,0.92,7.8,123.1,102.6
,Axel Toupane,Mil,G-F,20,8,7.7,15.9,9.6,0,7,0.714,9,0.333,2,0.5,0.409,0.497,1.8,0.8,5.1,0.5,7.6,0.25,0.38,0,4.7,118.8,104.5
,Karl-Anthony Towns,Min,C-F,25.42,35,34.4,71.8,28.6,13.8,202,0.871,404,0.545,214,0.402,0.565,0.618,25,11,17.3,4.6,23.1,0.71,1.43,3.23,12.6,116.4,106.4
,Gary Trent Jr.,Por,G-F,22.24,41,30.8,64.1,20.1,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.9,0.9,0.15,0.76,4.7,112.2,117.3
,Gary Trent Jr.,Tor,G-F,22.24,11,33.7,70.1,21.3,4.9,16,0.813,87,0.506,80,0.375,0.533,0.549,17.4,3.5,5.6,1.6,7.7,0.91,0.18,0.82,5.5,106.5,113.1
,P.J. Tucker,Hou,F,35.95,32,30,62.4,7.7,19,23,0.783,45,0.467,86,0.314,0.469,0.5,4.4,4.6,8.2,1.4,6.2,0.88,0.56,1.03,4.1,98.8,108.3
,P.J. Tucker,Mil,F,35.95,5,14,29.1,4.8,0,0,0,1,1,7,0.429,0.688,0.688,2.2,2.4,9,0.6,5,0.2,0.4,0,4.2,160.3,111.2
,Rayjon Tucker,Phi,G,23.56,8,3.8,7.9,13.5,10.5,8,1,3,0.333,2,0.5,0.5,0.763,1.6,0.8,10.9,0.3,8.4,0,0,0.13,7.7,,
,Myles Turner,Ind,C-F,25.06,46,30.9,64.4,16.6,12,136,0.787,222,0.613,201,0.338,0.563,0.604,12.7,6.4,11.4,1,4.4,0.87,3.46,1.43,5.6,111.9,103.9
,Jonas Valanciunas,Mem,C,28.95,49,28.1,58.5,23.1,11,165,0.77,550,0.598,46,0.348,0.592,0.623,17,12.6,24,1.8,10.2,0.53,0.73,1.69,10.4,122.9,100.5
,Denzel Valentine,Chi,G,27.42,48,17.5,36.4,19,8.6,11,1,139,0.446,196,0.337,0.481,0.49,6.9,3.5,11.2,1.7,13.1,0.54,0.04,0.67,7.9,101.3,109.3
,Jarred Vanderbilt,Min,F,22.04,49,17.4,36.3,12.9,18.3,90,0.567,170,0.612,4,0.25,0.606,0.613,5.3,5.4,16.9,1.3,10.8,0.96,0.71,0.98,7.7,116.7,104.1
,Fred VanVleet,Tor,G,27.14,45,36.1,75.2,23.9,9.8,174,0.885,334,0.422,402,0.366,0.491,0.54,19.5,4.2,6.3,6.1,26.1,1.71,0.8,1.96,8.8,112.2,110.2
,Devin Vassell,San,G-F,20.65,44,16.5,34.4,13.5,7.5,33,0.879,97,0.402,97,0.392,0.495,0.53,5,2.8,8.8,0.9,7.3,0.84,0.27,0.39,5.6,108.3,105.1
,Gabe Vincent,Mia,G,24.84,39,13.7,28.6,19.5,12.1,23,0.87,69,0.536,125,0.288,0.469,0.495,5.2,1.1,4.5,1.4,15,0.44,0.05,0.72,5.8,96.6,101.9
,Noah Vonleh,Bro,F,25.65,4,2.7,5.6,20.1,40,0,0,1,0,2,0,0,0,0,0.3,5.2,0.3,10.3,0,0,0.5,0,,
,Nikola Vucevic,Orl,C,30.48,44,34.1,71,30,8,110,0.827,620,0.515,288,0.406,0.545,0.565,24.5,11.8,18,3.8,21.8,0.95,0.64,1.89,12.1,112,107.2
,Nikola Vucevic,Chi,C,30.48,12,32,66.7,27.4,5.7,28,0.857,155,0.516,64,0.453,0.564,0.586,22.6,10.3,17.8,3.5,18.3,1,1,1.17,11.7,119.8,105.9
,Dean Wade,Cle,F-C,24.4,47,17.1,35.6,13,7.5,21,0.762,69,0.565,144,0.375,0.563,0.576,5.4,3.1,10,1.1,9.6,0.43,0.38,0.38,6.2,116.9,109.9
,Moritz Wagner,Was,F-C,23.98,25,15,31.3,18.4,12.7,52,0.788,80,0.613,42,0.31,0.561,0.614,7.1,2.9,10.3,1.3,12.1,0.88,0.32,0.84,8,116,97.3
,Moritz Wagner,Bos,F-C,23.98,9,6.8,14.1,16.9,37.7,2,0.5,8,0.25,6,0.333,0.357,0.37,1.2,2.1,17.4,0.7,12.4,0,0.11,1,7.1,65.4,96.6
,Lonnie Walker IV,San,G-F,22.34,42,25.3,52.8,20.1,9,55,0.8,227,0.485,196,0.357,0.508,0.53,11.3,2.6,5.5,1.6,9.1,0.5,0.33,1.05,5.7,101.2,109.6
,Kemba Walker,Bos,G,30.94,36,31.2,65,25.5,11.2,106,0.943,258,0.461,285,0.344,0.49,0.536,17.6,3.8,6.8,5.1,24.5,1.08,0.28,2.06,9,110.3,112.5
,John Wall,Hou,G,30.61,37,32.1,66.9,31.8,14.7,192,0.734,439,0.446,232,0.328,0.462,0.504,20.6,3.2,5.3,6.8,36,1.08,0.78,3.51,9.5,99.2,115.3
,Brad Wanamaker,Gol,G,31.73,39,16,33.4,16,15.8,56,0.893,112,0.429,61,0.213,0.39,0.468,4.7,1.7,5.6,2.5,20.9,0.67,0.15,0.95,6.8,99.1,106.8
,Brad Wanamaker,Cha,G,31.73,10,19.9,41.4,20.5,20.1,22,0.818,48,0.5,18,0.167,0.432,0.496,7.5,1.7,4.7,3.8,27.5,0.7,0.2,1.9,7.3,99.3,107.7
,T.J. Warren,Ind,F,27.61,4,29.4,61.1,21.7,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.6,1.3,6.6,0.5,0,1,5.6,107.2,104.2
,P.J. Washington,Cha,F,22.65,48,29.4,61.3,18.9,16.6,115,0.791,287,0.46,181,0.37,0.497,0.536,11.6,6.4,11.8,2.7,13.3,1,1.29,2.15,8,102.3,105.2
,Yuta Watanabe,Tor,G-F,26.51,38,12.9,27,12.4,9.9,19,0.842,61,0.492,58,0.397,0.542,0.569,3.8,3.2,13.8,0.6,6.8,0.53,0.45,0.37,6,116.7,105.6
,Tremont Waters,Bos,G,23.27,16,7.2,15.1,21.3,24.4,12,0.917,21,0.286,17,0.353,0.395,0.474,2.6,0.6,4.8,2.2,39.8,0.56,0,0.88,8.4,102.1,109.2
,Paul Watson,Tor,G,26.3,26,10.6,22,13.1,9.6,8,0.625,14,0.571,58,0.517,0.736,0.735,4.3,1.6,8.2,0.5,6.3,0.19,0.12,0.31,5.7,129.8,104
,Quinndary Weatherspoon,San,G,24.6,15,4.7,9.7,16.5,30.2,8,0.875,13,0.385,2,0,0.333,0.459,1.1,0.4,4.6,0.3,9.1,0.33,0.13,0.53,4.3,77.1,98.2
,Russell Westbrook,Was,G,32.43,48,35.5,74,31.4,18.7,308,0.627,708,0.479,202,0.312,0.476,0.507,22.1,10.9,16.2,10.8,48,1.23,0.38,5,15.5,101.2,105.4
,Coby White,Chi,G,21.17,52,30.6,63.7,22.3,13.8,103,0.913,349,0.473,318,0.343,0.493,0.527,14.4,4.2,7.6,4.4,20.3,0.52,0.15,2.19,8.4,103.6,109
,Derrick White,San,G,26.79,30,29.6,61.6,22.2,9.1,93,0.849,174,0.477,197,0.34,0.495,0.541,14.9,2.7,4.9,3.3,16,0.73,1.07,1.37,6.9,107.7,107.6
,Hassan Whiteside,Sac,C,31.84,33,14.9,31,23.4,13.1,75,0.52,199,0.568,1,0,0.565,0.569,8,5.9,22.1,0.6,6.2,0.24,1.39,1.06,8.2,107.9,104.5
,Greg Whittington,Den,F,28.19,4,3,6.3,10.9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
,Andrew Wiggins,Gol,F,26.15,56,32.6,67.8,23.3,10.4,190,0.695,516,0.525,292,0.387,0.545,0.568,18.1,4.8,7.8,2.4,11.2,0.95,0.95,1.84,7.3,106,109.1
,Robert Williams III,Bos,C-F,23.5,47,18.9,39.4,15.3,15.2,65,0.646,237,0.726,2,0,0.72,0.721,8.2,7,20.6,1.8,14,0.83,1.81,1.02,9.9,137.6,100.3
,Grant Williams,Bos,F,22.38,48,18.6,38.7,11.3,18,36,0.528,82,0.5,94,0.383,0.54,0.545,4.4,2.9,8.8,1,6.9,0.56,0.35,0.88,5,103.9,101.6
,Kenrich Williams,Okc,G-F,26.37,56,20.8,43.3,14.8,14,48,0.563,233,0.562,91,0.429,0.585,0.588,7.3,4.2,10.4,2.2,16.1,0.75,0.21,1,7.8,115.8,105.5
,Lou Williams,Lac,G,34.47,42,21.9,45.5,26.5,12,119,0.866,311,0.437,119,0.378,0.473,0.529,12.1,2.1,5.4,3.4,23.1,0.93,0.1,1.57,8.1,107.9,110.8
,Lou Williams,Atl,G,34.47,9,23.9,49.8,23.1,11.4,14,0.857,72,0.403,23,0.478,0.479,0.509,11.4,1.6,3.6,3.6,22.9,0.56,0.11,1.44,6.8,104.5,115.6
,Zion Williamson,Nor,F,20.78,51,32.9,68.5,29.8,11.5,438,0.699,823,0.625,27,0.333,0.621,0.653,26.7,7.1,12,3.6,19.7,0.9,0.71,2.65,10.7,124.3,110.3
,Patrick Williams,Chi,F,19.64,54,28.5,59.4,14.6,13.9,89,0.764,302,0.51,110,0.382,0.527,0.556,9.3,4.7,9.2,1.3,6,0.91,0.65,1.35,5.4,104.2,109.3
,D.J. Wilson,Mil,F,25.16,12,8.7,18.2,19.2,8.4,2,0.5,15,0.4,28,0.357,0.488,0.49,3.6,2.1,12.5,0.3,3.7,0.08,0.33,0.33,6,96.2,100.3
,D.J. Wilson,Hou,F-C,25.16,15,11.9,24.9,19.7,13.3,13,0.615,33,0.485,33,0.364,0.515,0.53,5.1,3.1,13.7,0.5,6,0.33,0.53,0.73,6.7,97.3,103.3
,Dylan Windler,Cle,G-F,24.57,31,16.5,34.5,14.9,18.3,27,0.778,53,0.585,78,0.333,0.534,0.563,5.2,3.5,11.6,1.1,9.3,0.61,0.39,1.03,6.6,102,107.9
,Justise Winslow,Mem,F-G,25.06,16,21,43.8,22.3,14,16,0.563,105,0.429,41,0.122,0.36,0.372,7.1,4.8,12.2,1.8,11.2,0.75,0.44,1.56,7.5,77.2,103.2
,Cassius Winston,Was,G,23.13,15,5.7,11.9,14.4,3.4,6,0.833,11,0.273,15,0.467,0.519,0.559,2.1,0.6,5.6,0.7,15.5,0.13,0.07,0.07,6.7,121.2,108.3
,James Wiseman,Gol,C,20.05,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,5,0.28,0.92,1.54,6.7,99.4,98.8
,Robert Woodard II,Sac,F,21.57,11,2.6,5.4,27.7,5.4,8,0.375,10,0.6,4,0.25,0.536,0.514,1.6,1,21.2,0,0,0,0.18,0.09,0,,
,Christian Wood,Hou,F,25.55,33,31.7,66,25.7,9.4,150,0.647,354,0.596,152,0.382,0.589,0.606,21,9.4,15.7,1.5,8.8,0.85,1.24,1.79,8.4,112.9,108.3
,Delon Wright,Det,G,28.97,36,29.2,60.9,15.8,12.6,90,0.789,204,0.515,89,0.348,0.517,0.562,10.4,4.6,8.8,5,25.8,1.58,0.53,1.33,8.5,119.2,110.6
,Delon Wright,Sac,G,28.97,11,20.3,42.3,16.2,10.7,17,0.882,45,0.444,23,0.391,0.493,0.543,7.5,2.5,6.9,1.9,12.4,1.09,0,0.82,6.5,111.9,118
,Thaddeus Young,Chi,F,32.82,51,24.6,51.3,21.5,16.1,79,0.62,464,0.599,29,0.241,0.585,0.593,12.3,6.3,14.2,4.2,26.2,1.14,0.59,1.98,11.2,117.2,104.7
,Trae Young,Atl,G,22.58,51,34.3,71.5,32.9,16.6,445,0.87,581,0.472,327,0.358,0.495,0.583,25.2,3.9,6.3,9.5,45.1,0.8,0.2,4.31,11.4,115.3,112
,Cody Zeller,Cha,F-C,28.53,35,21.4,44.6,17.7,11.3,79,0.734,215,0.586,24,0.125,0.546,0.583,9.1,7.2,18.4,2,14.2,0.66,0.4,1,9.5,122.4,102
,Ivica Zubac,Lac,C,24.08,58,22.2,46.1,15,14.7,136,0.809,309,0.657,3,0,0.651,0.694,8.9,7.3,18.7,1.2,7.5,0.4,0.86,1.1,7.7,135.5,101.1
,Anthony Tolliver,Phi,F,35.88,1,14.1,29.4,9.1,33.3,0,0,0,0,2,0,0,0,0,2,7.8,1,8.3,0,1,1,0,20.6,105.5
,Shaquille Harrison,Den,G,27.53,1,3.2,6.7,27.3,0,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,0,0,0,0,,
